anio;mes;comercializadora;tarifa;kwh_mes;coste_energia_mes;coste_potencia_mes;coste_total_mes;ref_mediana_coste_total_mes;ref_peor_coste_total_mes;ahorro_vs_mediana_eur_mes;ahorro_vs_mediana_pct_mes;ahorro_vs_peor_eur_mes;ahorro_vs_peor_pct_mes;pct_coste_energia_mes;pct_coste_potencia_mes;kwh_punta_LV_mes;kwh_llano_LV_mes;kwh_valle_LV_mes;kwh_valle_SD_mes;pct_kwh_punta_LV_mes;pct_kwh_llano_LV_mes;pct_kwh_valle_LV_mes;pct_kwh_valle_SD_mes
2025;1;Ibertrola;Discriminación Horaria;137,83;11,2167;13,2886;24,5053;37,2522;49,0839;12,747;34,218;24,5787;50,0748;45,7725;54,2275;35,592;37,722;33,089;31,427;25,8231;27,3685;24,0071;22,8013
2025;2;Gane;Tarifa Precio de Mercado;339,478;24,8344;15,3526;40,187;64,6888;87,3428;24,5017;37,8763;47,1558;53,9893;61,797;38,203;89,717;85,867;74,173;89,721;26,4279;25,2938;21,8491;26,4291
2025;3;Gane;Tarifa Precio de Mercado;432,973;31,3513;15,3526;46,7039;76,3432;104,4061;29,6393;38,8237;57,7021;55,267;67,1277;32,8723;108,215;98,701;85,034;141,023;24,9935;22,7961;19,6396;32,5709
2025;4;Ibertrola;Discriminación Horaria;209,859;17,1013;13,2886;30,3899;47,4071;62,3828;17,0172;35,8959;31,993;51,2849;56,2729;43,7271;56,542;52,902;41,309;59,106;26,9429;25,2084;19,6842;28,1646
2025;5;Ibertrola;Discriminación Horaria;169,174;13,801;13,2886;27,0896;41,5546;54,9056;14,465;34,8097;27,8161;50,6616;50,9457;49,0543;45,986;42,487;25,954;54,747;27,1827;25,1144;15,3416;32,3614
2025;6;Gane;Tarifa Precio de Mercado;629,484;46,0667;15,3526;61,4193;102,4314;143,435;41,0121;40,0386;82,0157;57,1797;75,0035;24,9965;166,318;160,72;115,566;186,88;26,4213;25,532;18,3588;29,6878
2025;7;Gane;Tarifa Precio de Mercado;294,503;21,4977;15,3526;36,8504;58,68;78,5015;21,8296;37,2011;41,6511;53,0577;58,3379;41,6621;77,219;72,218;62,404;82,662;26,2201;24,522;21,1896;28,0683
2025;8;Ibertrola;Discriminación Horaria;144,953;11,2816;13,2886;24,5701;37,4496;49,3647;12,8794;34,3914;24,7945;50,2273;45,9157;54,0843;29,342;30,901;38,506;46,204;20,2424;21,3179;26,5645;31,8752
2025;9;Gane;Tarifa Precio de Mercado;342,494;25,2682;15,3526;40,6208;65,5451;88,5703;24,9243;38,0261;47,9495;54,1372;62,205;37,795;95,171;92,377;57,307;97,639;27,7876;26,9719;16,7323;28,5082
2025;10;Ibertrola;Discriminación Horaria;179,447;15,2276;13,2886;28,5162;44,0456;57,9576;15,5294;35,2575;29,4414;50,7981;53,3999;46,6001;60,015;50,181;29,019;40,232;33,4444;27,9642;16,1713;22,42
2025;11;Gane;Tarifa Precio de Mercado;363,938;26,2577;15,3526;41,6104;67,1377;90,9017;25,5273;38,0223;49,2913;54,2248;63,1038;36,8962;90,283;76,897;76,959;119,799;24,8072;21,1291;21,1462;32,9174
2025;12;Gane;Tarifa Precio de Mercado;349,746;25,4348;15,3526;40,7874;65,7202;88,7795;24,9328;37,9377;47,9921;54,0576;62,3594;37,6406;92,342;76,32;83,956;97,128;26,4026;21,8216;24,0048;27,771
